City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,41.0,84.0,-46.19,168.86,11.11,4.47
shellbrook,90.0,78.0,53.22,-106.4,-13.0,4.6
pirai,90.0,74.0,-22.63,-43.9,31.0,3.1
ushuaia,75.0,61.0,-54.8,-68.3,9.0,9.8
kismayo,83.0,75.0,-0.36,42.55,27.16,8.15
rawson,0.0,52.0,-43.3,-65.1,15.7,6.54
busselton,0.0,63.0,-33.65,115.33,20.56,2.37
seminole,1.0,57.0,28.71,-81.21,26.11,5.7
lolua,99.0,77.0,59.38,143.3,-26.01,4.39
okhotsk,75.0,68.0,-33.93,18.42,21.67,5.1
amderma,90.0,80.0,59.7,30.79,-1.0,4.0
cape town,40.0,68.0,22.29,114.16,18.0,8.2
nikolskoye,1.0,30.0,37.1,-113.58,-0.56,2.1
illoqqortoormiut,100.0,96.0,-10.16,32.63,17.87,0.44
victoria,51.0,79.0,-41.07,145.92,14.82,7.19
saint george,92.0,89.0,-35.17,173.17,17.22,6.5
isoka,40.0,55.0,42.6,-73.97,3.89,4.6
burnie,5.0,12.0,18.74,7.39,22.01,3.42
ahipara,90.0,88.0,22.08,-159.32,21.0,7.2
albany,83.0,81.0,-23.12,-134.97,26.77,7.7
arlit,100.0,66.0,60.14,-45.24,0.49,9.0
kapaa,73.0,83.0,50.68,156.12,-14.41,0.78
rikitea,87.0,78.0,3.07,172.79,28.56,8.69
belushya guba,99.0,73.0,-45.87,170.5,12.95,7.04
nanortalik,90.0,80.0,57.05,-135.33,5.0,5.1
severo-kurilsk,98.0,81.0,-0.6,73.08,28.46,6.22
butaritari,1.0,96.0,71.29,-156.79,-38.0,3.1
dunedin,42.0,93.0,-43.53,172.63,11.11,2.1
sitka,100.0,97.0,60.06,71.48,0.16,6.33
barentsburg,0.0,31.0,-34.48,-54.33,34.49,4.96
hithadhoo,1.0,71.0,14.9,-24.5,23.39,7.06
barrow,6.0,83.0,57.88,34.99,-7.5,3.35
christchurch,20.0,69.0,-16.28,-39.02,28.0,5.7
salym,1.0,60.0,38.42,-121.42,11.11,0.33
rocha,40.0,78.0,-0.74,-90.35,28.0,7.2
sao filipe,5.0,68.0,-26.65,15.16,22.0,7.2
udomlya,20.0,63.0,38.52,-28.7,16.0,9.8
santa cruz cabralia,90.0,82.0,-37.83,140.77,14.0,5.7
laguna,3.0,50.0,17.02,54.09,24.0,1.0
puerto ayora,78.0,96.0,-4.97,23.45,20.45,1.34
luderitz,75.0,94.0,-20.02,148.23,24.44,3.1
ribeira grande,15.0,79.0,64.38,-173.3,-29.04,7.96
mount gambier,90.0,74.0,39.9,-79.72,3.89,3.1
salalah,0.0,8.0,20.5,-10.07,25.72,2.97
lusambo,40.0,58.0,42.1,-79.24,-0.56,4.6
bowen,20.0,78.0,5.41,100.34,29.0,1.44
provideniya,83.0,81.0,-0.61,-47.36,27.12,9.68
uniontown,75.0,61.0,25.76,-80.37,27.78,5.7
adrar,66.0,54.0,-20.58,17.43,24.39,1.84
jamestown,0.0,95.0,65.58,-171.0,-31.74,4.78
georgetown,40.0,65.0,27.45,-80.33,27.0,4.6
salinopolis,99.0,98.0,70.63,147.92,-31.4,1.75
sweetwater,61.0,50.0,5.52,5.75,30.27,3.67
okakarara,31.0,84.0,-38.27,141.97,15.4,9.2
lavrentiya,100.0,35.0,35.6,103.21,-4.16,0.72
fort pierce,0.0,86.0,54.72,135.31,-24.81,3.77
taolanaro,75.0,57.0,-53.15,-70.92,12.0,5.7
chokurdakh,100.0,78.0,-21.21,-159.78,27.0,4.1
warri,19.0,78.0,-2.65,10.0,26.6,2.63
codrington,3.0,30.0,-13.7,-76.22,23.33,4.1
linxia,100.0,76.0,-8.77,160.7,29.6,9.84
chumikan,79.0,84.0,-46.6,168.33,11.11,4.47
